Profiling data for rank 0 of 2
OpenMP threads: 2
step,update_time,display_time,total_time
0,0,2407,2489
1,0,1600,1612
2,0,1614,1624
3,0,1603,1612
4,0,1631,1639
5,0,1603,1616
6,0,1608,1616
7,0,1814,1830
8,0,2141,2154
9,0,1819,1835
10,0,1617,1628
11,0,1604,1613
12,0,2658,2669
13,0,1647,1662
14,0,1607,1619
15,0,1900,1909
16,0,2516,2528
17,0,1625,1638
18,0,1635,1644
19,0,1613,1623
20,0,1627,1639
21,0,1647,1656
22,0,1634,1644
23,0,1644,1654
24,0,1635,1644
25,0,1632,1641
26,0,1631,1640
27,0,1644,1653
28,0,1634,1642
29,0,1655,1664
30,0,1645,1654
31,0,1977,1986
32,0,1661,1674
33,0,1655,1668
34,0,1667,1676
35,0,1649,1658
36,0,1663,1672
37,0,1652,1661
38,0,3255,3264
39,0,1684,1700
40,0,1663,1672
41,0,1675,1688
42,0,1676,1684
43,0,1672,1679
44,0,1676,1685
45,0,1683,1695
46,0,1691,1699
47,0,1693,1701
48,0,1697,1710
49,0,1712,1720
50,0,1763,1782
51,0,1758,1769
52,0,1700,1709
53,0,1719,1729
54,0,1708,1719
55,0,1746,1756
56,0,1723,1733
57,0,1760,1774
58,0,1719,1731
59,0,1732,1742
60,0,1728,1738
61,0,1734,1744
62,0,1737,1748
63,0,1745,1754
64,0,1766,1777
65,0,1765,1783
66,0,1762,1774
67,0,1757,1766
68,0,1778,1787
69,0,1798,1808
70,0,1790,1801
71,0,1782,1790
72,0,1781,1789
73,0,1804,1812
74,0,1805,1813
75,0,1800,1808
76,0,1810,1818
77,0,1807,1815
78,0,1814,1823
79,0,1823,1831
80,0,1826,1834
81,0,1830,1839
82,0,1840,1848
83,0,1848,1856
84,0,1839,1847
85,0,1847,1854
86,0,1852,1860
87,0,1853,1864
88,0,1858,1880
89,0,1863,1976
90,0,3562,3656
91,0,1891,1905
92,0,1893,2083
93,0,1887,2129
94,0,1891,2135
95,0,1896,2188
96,0,1917,2262
97,0,1920,2269
98,0,1907,2345
99,0,1920,2379
100,0,1928,2403
101,0,1941,2449
102,0,1923,2307
103,0,1939,2338
104,0,1949,2338
105,0,1950,2389
106,0,1952,2468
107,0,1972,2471
108,0,1970,2512
109,0,1980,2562
110,0,1976,2617
111,0,1983,2674
112,0,2036,2715
113,0,2014,2702
114,0,2874,3657
115,0,2013,2025
116,0,2033,2843
117,0,2038,2895
118,0,2044,2937
119,0,2048,2969
120,0,2224,3185
121,0,2070,2927
122,0,2053,3078
123,0,2525,3606
124,0,3007,3772
125,0,3126,3355
126,0,3109,4470
127,0,3247,4454
128,0,3238,3427
129,0,3237,3401
130,0,3224,3441
131,0,3244,3426
132,0,3189,3419
133,0,2973,3249
134,0,2366,2919
135,0,2148,3398
136,0,2120,3537
137,0,2567,4028
138,0,2134,3274
139,0,2136,3636
140,0,2336,3885
141,0,2138,3607
142,0,2149,3799
143,0,2194,3850
144,0,2139,3812
145,0,2603,4327
146,0,2255,3607
147,0,2147,3804
148,0,2219,4079
149,0,2174,3991
150,0,2222,3985
151,0,2175,3979
152,0,2255,4066
153,0,2333,4055
154,0,2182,3881
155,0,2319,4144
156,0,2189,3947
157,0,2184,4062
