Taille du terrain : 1.000000
Nombre de cellules par direction : 400
Vecteur vitesse : [0.000000, 0.000000]
Position initiale du foyer (col, ligne) : 200, 200
OpenMP threads: 1
step,update_time,display_time,total_time
0,22,60568,60865
1,21,29268,29323
2,30,31198,31258
3,33,28296,28356
4,35,28325,28385
5,39,28606,28676
6,49,26626,26701
7,54,26547,26622
8,68,26425,26517
9,87,26192,26300
10,94,26033,26145
11,114,27701,27834
12,135,26364,26524
13,151,26000,26169
14,159,26274,26449
15,177,24669,24866
16,198,28925,29142
17,275,27186,27500
18,251,26903,27190
19,265,27266,27553
20,298,26774,27095
21,487,30412,30921
22,380,27492,27897
23,397,31037,31475
24,412,27122,27566
25,454,26241,26735
26,471,26271,26759
27,502,26185,26703
28,524,26262,26803
29,565,26451,27032
30,619,26329,26966
31,626,26284,26927
32,674,26164,26852
33,727,27572,28313
34,776,26417,27230
35,797,26552,27366
36,845,26509,27371
37,872,26666,27555
38,935,26354,27308
39,968,26537,27523
40,1017,26694,27728
41,1080,26567,27665
42,1134,26871,28023
43,1285,26565,27871
44,1216,26567,27799
45,1287,27800,29106
46,1341,26881,28248
47,1405,27131,28557
48,1490,26703,28215
49,1621,26802,28439
50,1582,26807,28407
51,1648,26628,28294
52,1697,26780,28495
53,1719,26752,28490
54,1767,26848,28632
55,1845,26811,28676
56,2038,26621,28678
57,1991,26826,28836
58,2094,26656,28770
59,2165,26994,29177
60,2263,26937,29219
61,2327,26959,29304
62,2382,26871,29271
63,2482,26811,29312
64,2608,27167,29793
65,2657,26770,29448
66,2866,26742,29631
67,2938,26782,29739
68,2971,26851,29841
69,3064,26612,29696
70,3152,26736,29907
71,3233,27880,31133
72,3326,26319,29668
73,3340,26121,29482
74,3454,26431,29906
75,3500,26455,29973
76,3635,26528,30183
77,3765,26591,30379
78,3952,26521,30493
79,4055,26566,30641
80,4194,26505,30720
81,4267,26714,31000
82,4423,26458,30902
83,4561,26475,31055
84,4688,26563,31271
85,4912,26478,31410
86,4927,26575,31522
87,4991,28189,33202
88,5145,26599,31768
89,5288,26717,32026
90,5426,26776,32222
91,5549,26761,32330
92,6022,26777,32822
93,5998,26655,32675
94,6049,26717,32787
95,6167,26844,33031
96,6315,26960,33295
97,6430,26762,33212
98,6522,26816,33358
99,6679,26873,33572
100,6702,26629,33351
101,6827,26876,33720
102,7025,26940,33983
103,7176,26950,34143
104,7405,26903,34327
105,7509,26944,34472
106,7675,26973,34669
107,7762,27100,34883
108,7960,26963,34944
109,8099,26708,34826
110,8140,26748,34906
111,8342,27156,35517
112,8552,27024,35598
113,8651,26942,35611
114,8909,27226,36154
115,8888,26989,35895
116,9295,27070,36384
117,9383,27080,36481
118,9502,27144,36665
119,9640,27319,36977
120,9868,27292,37178
121,9954,27482,37456
122,10360,27314,37696
123,10320,27382,37723
124,10481,27260,37762
125,10750,27421,38189
126,10841,27478,38338
127,11118,27464,38600
128,11390,27586,38996
129,11461,27427,38909
130,11684,27447,39150
131,12032,27515,39565
132,11786,27534,39339
133,11852,27676,39551
134,12119,27726,39868
135,12315,27774,40112
136,12403,27845,40267
137,12491,27764,40274
138,12751,27800,40570
139,12904,27749,40675
140,12822,27859,40700
141,13172,27841,41032
142,13539,27607,41166
143,14220,27958,42202
144,13908,28029,41957
145,14218,27900,42137
146,14345,27952,42317
147,14677,27985,42685
148,14805,27997,42825
149,15116,29186,44324
150,16565,34604,51265
151,19625,30238,49899
152,16400,28843,45268
153,16220,28589,44831
154,16540,29110,45679
155,16584,28597,45203
156,16956,28664,45641
157,17104,28872,45999
158,17387,28755,46172
159,17544,28782,46349
160,17909,29500,47431
161,18080,28745,46850
162,18474,29287,47786
163,18545,29300,47867
164,18840,30984,49850
165,22161,31696,53905
166,21716,30111,51859
167,19587,33386,53014
168,20221,30547,50806
169,20731,31494,52265
170,20324,29433,49788
171,20492,29306,49819
172,20734,29192,49948
173,20914,29375,50308
174,21362,29853,51250
175,21879,29344,51248
176,21743,29501,51266
177,22604,29832,52466
178,22188,29041,51251
179,22288,29588,51898
180,22747,29565,52335
181,22445,29245,51711
182,22819,29610,52453
183,23146,29561,52732
184,23325,29309,52657
185,23507,29448,52979
186,22703,29332,52059
187,23189,30987,54201
188,23286,29729,53042
189,23615,29896,53533
190,23578,29620,53220
191,23865,29619,53506
192,24014,29825,53862
193,23991,29700,53713
194,23933,29793,53750
195,24287,29839,54148
196,24709,30072,54804
197,25087,29910,55022
198,25315,30057,55396
199,25643,30148,55811
200,25839,30172,56035
201,26100,30151,56276
202,26302,30084,56410
203,26555,30387,56966
204,26850,30229,57103
205,27285,30360,57671
206,27548,30392,57964
207,28742,30580,59349
208,28937,30523,59488
209,29575,30678,60280
210,29738,30700,60468
211,30044,30693,60766
212,30259,30792,61077
213,30629,30849,61505
214,31030,30901,61960
215,31204,30836,62067
216,32180,31034,63241
217,32222,31079,63327
218,32353,31121,63503
219,32692,31303,64023
220,33065,31113,64205
221,33641,31308,64979
222,33752,31263,65044
223,34138,31348,65515
224,34320,31436,65785
225,34635,31497,66159
226,35098,31620,66747
227,35561,31439,67027
228,35906,31430,67366
229,36546,31762,68337
230,36814,31644,68487
231,37342,31880,69250
232,37535,31872,69436
233,36901,31960,68891
234,37021,31984,69033
235,37047,31961,69036
236,37617,32041,69689
237,38089,32012,70131
238,38327,32193,70549
239,38835,32324,71187
240,39353,32357,71742
241,39664,32401,72094
242,39768,32424,72220
243,40499,32529,73059
244,40586,32381,72996
245,41181,32681,73888
246,41127,32685,73841
247,41895,32626,74552
248,42215,32825,75068
249,42555,32751,75335
250,42954,32925,75909
251,43094,33008,76133
252,44426,33056,77511
253,44352,33121,77504
254,44397,33238,77664
255,44709,33152,77891
256,45035,33221,78283
257,45779,33240,79048
258,46215,33299,79541
259,46337,33408,79773
260,46784,33411,80224
261,47335,33457,80821
262,47760,33680,81472
263,48210,33539,81779
264,49616,33541,83185
265,47708,33512,81250
266,47613,33631,81274
267,48344,33825,82198
268,48595,35631,84258
269,49105,34085,83224
270,48965,34240,83236
271,49299,34033,83361
272,49518,34076,83624
273,48759,34168,82954
274,48289,34366,82682
275,48938,34453,83419
276,49427,34602,84055
277,49847,34556,84432
278,50090,34563,84680
279,50816,34720,85563
280,51521,34605,86155
281,51710,34840,86576
282,52153,34981,87163
283,52581,35025,87634
284,53202,35129,88358
285,53898,35224,89149
286,54356,35211,89596
287,54837,35358,90222
288,55386,35087,90500
289,55351,35358,90737
290,55937,35514,91479
291,57502,35711,93239
292,57557,35782,93367
293,58970,35871,94872
294,58974,35961,94965
295,59791,36067,95889
296,60141,36145,96318
297,60792,36190,97015
298,61306,36414,97752
299,61865,36325,98221
300,62259,36342,98633
301,62896,36521,99448
302,63496,36793,100321
303,63989,36888,100908
304,64190,36732,100953
305,65096,36933,102060
306,65167,37114,102313
307,65585,37174,102792
308,65829,37241,103101
309,66740,37328,104101
310,66673,37250,103953
311,67042,37411,104484
312,68185,37595,105810
313,68020,37566,105614
314,68944,37617,106594
315,68692,37718,106441
316,69342,38055,107429
317,69251,37863,107146
318,70266,37972,108269
319,69977,38067,108078
320,70558,38146,108734
321,71024,37963,109017
322,71032,38357,109422
323,71301,38239,109572
324,71146,38196,109375
325,71719,38494,110247
326,72162,38563,110757
327,73040,38015,111086
328,73366,38549,111947
329,72969,38597,111597
330,73645,38699,112374
331,73798,38898,112729
332,74148,38591,112772
333,74084,38407,112522
334,74638,38970,113640
335,74549,38805,113387
336,74907,38950,113889
337,74982,38418,113431
338,75452,38513,113998
339,75950,39021,115010
340,75078,39003,114110
341,75703,39041,114776
342,75450,39137,114618
343,75743,38785,114561
344,76369,38813,115214
345,76665,39290,115987
