Profiling data for rank 1 of 2
OpenMP threads: 2
step,update_time,display_time,total_time
1,16,0,324784
2,8,0,37259
3,11,0,27421
4,14,0,25533
5,19,0,25477
6,21,0,27363
7,28,0,25300
8,34,0,25288
9,41,0,25369
10,53,0,25168
11,65,0,26310
12,78,0,25930
13,96,0,26019
14,101,0,27098
15,118,0,25850
16,138,0,25568
17,140,0,25234
18,147,0,25123
19,159,0,25155
20,176,0,24989
21,187,0,25131
22,202,0,25036
23,215,0,24991
24,227,0,25335
25,240,0,25357
26,258,0,25642
27,256,0,25328
28,268,0,25330
29,278,0,25068
30,288,0,25873
31,300,0,30687
32,312,0,30287
33,321,0,30638
34,336,0,30863
35,357,0,30725
36,367,0,30818
37,387,0,29695
38,407,0,25383
39,423,0,24819
40,443,0,24832
41,454,0,25081
42,484,0,25314
43,545,0,24814
44,493,0,24899
45,508,0,24828
46,536,0,24923
47,544,0,25082
48,571,0,24874
49,580,0,24775
50,601,0,24914
51,623,0,24752
52,650,0,24886
53,667,0,24742
54,677,0,24855
55,730,0,24851
56,733,0,25061
57,769,0,25158
58,800,0,24892
59,828,0,25054
60,850,0,24907
61,884,0,25026
62,901,0,25145
63,933,0,24741
64,960,0,24742
65,987,0,25042
66,1014,0,25087
67,1041,0,25053
68,1081,0,24873
69,1063,0,24893
70,1072,0,24819
71,1096,0,24835
72,1138,0,24960
73,1160,0,24844
74,1188,0,24913
75,1220,0,24921
76,1239,0,25066
77,1273,0,25033
78,1297,0,24919
79,1324,0,25067
80,1345,0,24792
81,1371,0,25043
82,1389,0,26442
83,1536,0,24828
84,1442,0,25141
85,1572,0,25064
86,1507,0,25148
87,1603,0,25144
88,1544,0,24859
89,1659,0,25157
90,1593,0,25092
91,1651,0,24970
92,1674,0,24972
93,1701,0,24855
94,1692,0,25132
95,1788,0,25079
96,1771,0,24893
97,1829,0,24964
98,1853,0,25152
99,1847,0,24973
100,1880,0,24970
101,1888,0,25100
102,1927,0,25385
103,1955,0,25137
104,1977,0,25117
105,2024,0,25113
106,2066,0,25067
107,2139,0,25027
