N,threads,avg_update_speedup,avg_display_speedup,avg_total_speedup
50,1,1.9267471896470534,1.1681552885120887,1.1281531049733737
50,2,1.752814658027867,1.183218886071896,1.1912740931758565
50,4,1.4031243030205633,1.1738375162011867,1.1621865447284132
50,6,1.285681918295787,1.1439818766535021,1.1394459483380666
50,10,0.9845456907767559,1.016122572593926,1.0111362892389697
100,1,1.526476025249849,1.0949641096321028,1.0324981360437482
100,2,1.473615595168592,1.090794364152528,1.0944448283063035
100,4,1.293093865442355,1.0925537428022172,1.0876675991373679
100,6,1.2176078696656158,1.0200979498340612,1.0346149365349528
100,10,0.9521896902311646,0.9420894467556086,0.9365335581663026
200,1,3.7721480720581266,1.0836067725131624,1.0493754707374554
200,2,2.9391292210046247,1.0650450691223647,1.0855635687403524
200,4,2.2459734024806965,1.0658687419482058,1.075165632882367
200,6,2.1252567125622814,1.0417330168625722,1.0632794312929421
200,10,1.3826609743368314,0.9479806323591098,0.9445502516910224
400,1,1.5608074682164663,1.031496630175465,0.9712276566833651
400,2,1.5344800514012906,1.0247377766670338,1.0139281130342486
400,4,1.4814975136903592,1.0175026097208637,1.0108136140151192
400,6,1.4632268394590475,1.0144369367084678,1.0253304014461957
400,10,1.2239336176902,0.9833908842605394,0.9941405973551223
