Taille du terrain : 1.000000
Nombre de cellules par direction : 1000
Vecteur vitesse : [0.000000, 0.000000]
Position initiale du foyer (col, ligne) : 500, 500
OpenMP threads: 4
step,update_time,display_time,total_time
0,214,244198,249922
1,36,172805,172880
2,48,173187,173286
3,59,168666,168772
4,55,166846,166950
5,68,167540,167652
6,87,166449,166566
7,103,163293,163425
8,106,163189,163322
9,126,162711,162870
10,166,162960,163157
11,217,162548,162791
12,214,163424,163665
13,219,163291,163541
14,262,163035,163323
15,274,163339,163639
16,252,163012,163294
17,266,162752,163048
18,304,162679,163013
19,294,162931,163251
20,316,163125,163470
21,371,163191,163589
22,354,162397,162776
23,376,162598,163001
24,426,163092,163543
25,498,162745,163267
26,454,163410,163891
27,484,162858,163748
28,498,162704,163241
29,581,162703,163310
30,658,177472,178157
31,754,203742,204543
32,617,163723,164386
33,654,163371,164049
34,652,162855,163545
35,727,162995,163750
36,824,163575,164428
37,1343,163083,164451
38,845,162878,163750
39,964,164534,165522
40,883,163200,164113
41,980,163771,164777
42,1051,162994,164082
43,1069,163317,164413
44,1098,162946,164072
45,1212,163094,164331
46,1205,163345,164576
47,1143,162874,164043
48,1310,163518,164853
49,1380,163630,165036
50,1298,163502,164828
51,1463,163100,164588
52,1514,163235,164773
53,1502,163115,164643
54,1693,162870,164589
55,1753,163605,165382
56,1632,164945,166606
57,1747,162890,164663
58,1984,163115,165122
59,1856,163490,165371
60,2109,163463,165596
61,2127,164102,166253
62,1977,164141,166145
63,2280,163679,165984
64,2128,163961,166114
65,2196,163739,165959
66,2595,163536,166157
67,2556,163268,165848
68,2375,163039,165439
69,2711,162990,165725
70,2801,163315,166140
71,2524,163467,166017
72,2766,163278,166068
73,2749,163167,165940
74,2733,163515,166274
75,3168,163055,166249
76,3294,164698,168016
77,2981,163606,166614
78,3224,163731,166980
79,3552,163780,167358
80,3265,163344,166635
81,3695,163556,167277
82,3813,164186,168025
83,3468,163298,166792
84,4046,163345,167416
85,4079,163425,167530
86,3789,163196,167012
87,4275,163451,167751
88,4226,163391,167643
89,4032,163221,167278
90,4660,162838,167525
91,4661,165900,170588
92,4437,164106,168571
93,5198,163979,169203
94,4795,163927,168750
95,4866,164142,169034
96,5377,163953,169354
97,5035,163843,168903
98,5024,163999,169049
99,5444,163776,169246
100,5809,163466,169301
101,5321,163567,168913
102,5703,163864,169592
103,5872,164226,170121
104,5983,163968,169977
105,5994,164162,170181
106,6302,164178,170505
107,6490,164037,170551
108,6964,164020,171010
109,6235,164047,170307
110,6650,163701,170376
111,6955,163682,170665
112,7171,163569,170764
113,7571,164000,171593
114,7749,163880,171652
115,7042,164641,171711
116,7559,164556,172143
117,7882,163986,171894
118,7294,163698,171017
119,7725,164124,171873
120,8432,163983,172439
121,7691,164191,171908
122,7991,163984,172001
123,7921,164209,172156
124,8026,164420,172472
125,8467,163745,172237
126,8797,164077,172900
127,8612,164228,172867
128,9178,164241,173443
129,9145,165167,174339
130,9037,164202,173266
131,10233,164009,174266
132,10662,163976,174663
133,9989,164252,174267
134,10534,164467,175027
135,10332,164332,174689
136,10849,164513,175387
137,11490,164381,175896
138,10733,164328,175087
139,11460,164509,175996
140,11763,164558,176350
141,11192,164869,176084
142,11824,164238,176085
143,12649,165288,177960
144,11771,164896,176693
145,12331,164559,176914
146,12412,165136,177573
147,12883,164696,177606
148,13450,164413,177886
149,13547,164987,178557
150,12929,165876,178831
151,13838,164464,178326
152,13818,164484,178326
153,13890,164948,178861
154,14416,164201,178640
155,13857,164521,178402
156,15669,164760,180453
157,14940,164074,179040
158,14461,164420,178908
159,15730,164501,180256
160,15548,169038,184613
161,16962,165196,182186
162,16112,165869,182007
163,16090,165548,181661
164,15734,165055,180815
165,16062,164996,181084
166,16267,165613,181902
167,16634,165304,181962
168,17607,165803,183436
169,24474,164907,189408
170,18463,165567,184055
171,18487,165651,184165
172,17830,167157,185014
173,17780,165465,183271
174,17994,165494,183513
175,18119,165749,183908
176,19978,165799,185806
177,18583,165606,184212
178,19667,165307,185000
179,19750,165482,185258
180,19949,165571,185544
181,20031,165672,185730
182,20950,165328,186301
183,20057,165807,185890
184,20790,165515,186331
185,20484,165885,186391
186,21532,165930,187486
187,19372,170755,190153
188,19357,165974,185350
189,19705,166312,186039
190,18788,166169,184983
191,19351,166396,185775
192,18422,166873,185324
193,20572,166647,187242
194,20461,166720,187199
195,21442,166549,188020
196,20168,166688,186873
197,21432,167089,188537
198,21536,168728,190280
199,22377,169915,192319
200,21337,171227,192593
201,20331,170254,190615
202,21279,169769,191076
203,20750,170349,191127
204,20864,170551,191454
205,21838,170928,192795
206,21295,168466,189792
207,21351,166580,187960
208,22081,168039,190148
209,21894,167186,189107
210,22544,167159,189731
211,22487,167585,190101
212,23092,168163,191282
213,23327,168085,191440
214,23071,167272,190373
215,25222,166973,192224
216,24374,167353,191763
217,24003,168483,192512
218,26863,167639,194530
219,24235,167415,191677
220,24304,168063,192396
221,25516,167344,192890
222,24853,168098,192978
223,25470,168477,193974
224,26980,168750,195757
225,26228,172070,198327
226,30131,168664,198825
227,26506,168368,194904
228,28060,170400,198487
229,28772,171067,199861
230,29271,170977,200266
231,29518,171974,201510
232,28798,172754,201579
233,30005,172132,202158
234,28567,171789,200391
235,27912,171089,199034
236,28246,170429,198708
237,27916,167546,195493
238,28454,167606,196092
239,28936,168028,196995
240,30395,167999,198425
241,30491,168151,198673
242,30210,167869,198106
243,31334,167905,199268
244,30502,171580,202111
245,36779,172234,209045
246,33094,171996,205122
247,31664,172016,203709
248,31630,171472,203132
249,34415,172350,206797
250,31823,171751,203605
251,33165,171335,204530
252,32623,168196,200847
253,33669,169407,203105
254,33827,168770,202625
255,32937,169591,202557
256,33878,169684,203593
257,33779,169369,203179
258,34516,169168,203715
259,36091,169324,205444
260,34386,169547,203961
261,35301,170380,205713
262,39927,170517,210474
263,35590,169819,205439
264,36802,169151,205981
265,41209,169248,210489
266,41689,169951,211672
267,38699,170154,208885
268,40184,169936,210151
269,40560,170823,211414
270,41783,169445,211260
271,41815,170021,211869
272,37978,169741,207753
273,42472,171421,213922
274,43065,169805,212910
275,39971,170290,210291
276,40775,169558,210362
277,41488,170267,211786
278,44440,172951,217420
279,47533,172544,220105
280,42957,172777,215767
281,42657,173168,215856
282,45694,172523,218248
283,43414,172891,216334
284,45511,172655,218197
285,45041,176082,221155
286,45315,169519,214866
287,44541,169982,214556
288,44790,169441,214264
289,44775,169482,214291
290,45104,170123,215259
291,47326,170227,217585
292,47204,173600,220835
293,50317,173649,224001
294,46712,173474,220221
295,47863,174174,222069
296,48953,173649,222634
297,46939,173369,220341
298,48838,173747,222619
299,46646,171395,218076
300,50112,170882,221028
301,49185,170900,220118
302,51013,171454,222501
303,50793,170882,221709
304,49494,171791,221320
305,52253,171175,223460
306,49508,171745,221287
307,51149,171148,222332
308,50773,171242,222043
309,51537,171379,222951
310,51952,170743,222729
311,53128,171264,224423
312,51688,174014,225736
313,59739,174698,234472
314,52309,174512,226855
315,54277,174491,228804
316,54624,174967,229626
317,53654,174713,228399
318,54805,174286,229124
319,55840,174659,230528
320,55520,170557,226112
321,54489,170910,225434
322,54789,171392,226226
323,56488,170756,227271
324,55809,171241,227084
325,56664,171539,228236
326,56156,171803,227992
327,57866,171476,229376
328,57010,171634,228679
329,58421,172355,230807
330,57077,171583,228691
331,57623,171490,229146
332,57893,172749,230677
333,58563,171687,230284
334,65900,173415,239348
335,59560,171708,231300
336,65302,172150,237469
337,63783,172865,236673
338,59873,172980,232888
339,60179,173805,234019
340,61512,173108,234653
341,60229,174578,234843
342,60727,172711,233473
343,61044,173263,234340
344,62292,172557,234883
345,61602,172918,234553
346,62239,173211,235482
347,63067,172919,236014
348,63931,172501,236465
349,63684,173279,236999
350,63027,172569,235630
351,64997,173215,238242
352,63889,173535,237457
353,65942,172662,238632
354,65945,173445,239425
355,65251,173219,238502
356,65600,173425,239059
357,65042,173580,238655
358,65665,173644,239343
359,67856,173539,241429
360,66896,173563,240493
361,68336,173745,242117
362,68599,173815,242449
363,68253,173149,241436
364,68101,173515,241648
365,67587,174304,241924
366,68993,173673,242697
367,69779,173635,243458
368,70964,206403,277398
369,74136,179221,253401
370,71919,177665,249618
371,72724,178084,250841
372,71484,177149,248667
373,72271,178200,250505
374,72326,177058,249417
375,72508,174360,246902
376,71976,174979,246984
377,73506,175156,248693
378,72628,175357,248016
379,73723,176010,249766
380,73406,175263,248699
381,75977,176712,252721
382,79538,178863,258437
383,75136,178456,253626
384,73500,178246,251781
385,74988,178450,253472
386,75813,179163,255010
387,78619,178627,257278
388,76292,173679,250005
389,76157,178271,254463
390,83123,176747,259905
391,75719,175875,251630
392,76728,174722,251482
393,77004,174944,251981
394,78397,175043,253470
395,80270,176081,256386
396,84041,174787,258862
397,83966,175274,259273
398,83973,175645,259650
399,76678,174881,251593
400,80195,175272,255500
401,76522,175558,252112
402,76680,175964,252676
403,78347,175676,254051
404,77560,174968,252562
405,77982,175799,253811
406,77508,176156,253698
407,78431,176088,254548
408,79787,175184,255005
409,79881,176322,256233
410,79744,176151,255928
411,81750,176333,258114
412,79686,176508,256228
413,79853,176075,255964
414,80613,176106,256752
415,81834,176117,257984
416,82086,176157,258276
417,82600,180323,262958
418,88074,180360,268469
419,85119,179354,264506
420,83837,179443,263314
421,85794,180227,266056
422,84189,180334,264557
423,85359,179421,264815
424,84303,178758,263094
425,85147,177343,262525
426,86667,177118,263819
427,86224,177299,263558
428,85949,177719,263702
429,86357,178005,264395
430,88500,177951,266482
431,88242,177547,265824
432,87870,177307,265212
433,87478,177556,265065
434,88157,177643,265833
435,88700,177511,266242
436,88541,177451,266024
437,88769,177425,266227
438,89968,177334,267336
439,89100,178206,267338
440,90162,178522,268718
441,91060,178055,269148
442,90122,177864,268016
443,90533,178286,268866
444,90844,179043,269921
445,91680,178353,270065
446,91923,178516,270471
447,92098,178626,270758
448,92629,178247,270910
449,92910,178960,271899
450,93801,178911,272746
451,93413,179122,272570
452,94362,179122,273519
453,93576,178164,271774
454,94548,178984,273564
455,93505,178440,271981
456,95061,178553,273646
457,95499,178876,274407
458,95168,180027,275229
459,96117,179309,275459
460,95791,178929,274753
461,96837,179163,276032
462,96877,180546,277457
463,96128,179262,275424
464,97339,179091,276463
465,100083,179086,279198
466,97971,179941,277946
467,100471,179354,279859
468,97821,178761,276616
469,97690,179916,277637
470,99346,179764,279144
471,98866,179377,278275
472,99109,179965,279109
473,99885,180132,280051
474,100436,179448,279914
475,102576,179272,281884
476,100887,180037,280959
477,101247,184007,285289
478,111076,183292,294401
479,102402,183675,286113
480,102041,183508,285584
481,104043,182973,287046
482,103011,182752,285796
483,104674,179480,284188
484,102498,179663,282194
485,102424,179115,281571
486,103361,183365,286760
487,110958,183137,294130
488,104038,182911,286981
489,104567,183610,288211
490,105107,183561,288704
491,105509,183482,289026
492,105278,180274,285587
493,105995,180416,286445
494,106459,181000,287493
495,108306,180369,288707
496,107130,181920,289084
497,107150,180920,288101
498,107884,182088,290005
499,107561,180601,288195
500,109059,181254,290346
501,108595,181198,289827
502,110756,181307,292094
503,109150,180645,289830
504,109253,181448,290733
505,110787,181055,291874
506,110206,181930,292169
507,112618,181688,294337
508,110945,182351,293330
509,110881,181488,292401
510,111538,180874,292444
511,111138,181877,293049
512,116175,182325,298534
513,111512,181397,292941
514,112538,181860,294432
515,113005,182293,295332
516,114091,181651,295773
517,113999,182310,296342
518,113535,182451,296019
519,115866,181785,297681
520,115552,182142,297727
521,116516,181785,298333
522,115586,182423,298043
523,115485,182397,297914
524,117793,182657,300482
525,116103,182120,298256
526,117104,182378,299515
527,118254,182949,301237
528,117084,182954,300073
529,118251,183132,301413
530,118314,182862,301209
531,119489,182829,302350
532,120094,182253,302380
533,119798,183384,303215
534,120351,183027,303410
535,118025,182891,300950
536,120339,182979,303351
537,119599,183489,303122
538,119879,183912,303826
539,120798,182899,303732
540,121343,183505,304883
541,121047,183170,304252
542,122331,184799,307163
543,122779,183825,306639
544,122110,183485,305630
545,122816,184368,307219
546,123484,183650,307178
547,123276,184185,307507
548,124086,183960,308080
549,124234,183735,308002
550,125293,184113,309439
551,124543,184243,308820
552,126142,184610,310785
553,126924,184073,311030
554,125762,183661,309458
555,126815,184365,311207
556,128513,184465,313010
557,127644,184638,312311
558,128724,184264,313022
559,128361,185349,313743
560,130317,184623,314973
561,128127,184403,312563
562,128943,185141,314131
563,130413,184593,315038
564,129549,184508,314091
565,130362,185074,315469
566,131209,184699,315941
567,131540,185030,316604
568,131546,185192,316771
569,132037,185539,317606
570,132185,185287,317507
571,134537,185432,320003
572,133052,185713,318799
573,134355,185704,320093
574,134770,185495,320294
575,135426,186903,322364
576,135575,185543,321152
577,136108,185550,321693
578,135909,186987,322929
579,136217,185110,321362
580,136887,186121,323043
581,137127,185650,322812
582,137645,185697,323379
583,137899,185824,323758
584,137212,185514,322760
585,140134,186057,326224
586,138058,186726,324819
587,142299,190592,332925
588,144374,190128,334530
589,140577,190418,331022
590,140016,190890,330941
591,142174,189330,331540
592,140205,190135,330376
593,147478,190192,337703
594,140480,189802,330318
595,142439,190296,332771
596,144070,188757,332862
597,143520,186933,330486
598,144273,186662,330970
599,144185,186450,330670
600,145408,187242,332685
601,144770,187293,332098
602,145708,187357,333099
603,148602,191877,340514
604,147532,189956,337524
605,147928,190015,337978
606,149786,190724,340545
607,149853,190050,339939
608,148047,185990,334072
609,149948,186757,336740
610,149188,186386,335609
611,148723,186323,335082
612,152309,187129,339474
613,150065,187561,337662
614,150201,186306,336542
615,151206,186627,337868
616,149855,187232,337122
617,151147,186689,337872
618,151563,186033,337634
619,153044,186725,339802
620,152663,188985,341682
621,152525,187101,339659
622,153135,186942,340110
623,152605,187722,340360
624,154580,188645,343255
625,154866,187348,342249
626,152646,187235,339914
627,155836,187471,343340
628,155996,187654,343682
629,156388,189243,345665
630,157264,188212,345509
631,162954,193415,356405
632,161311,192445,353791
633,159528,188401,347965
634,157378,188208,345620
635,157703,188106,345843
636,159546,187734,347315
637,159701,187593,347329
638,160075,188377,348487
639,159379,187967,347395
640,161710,188680,350424
641,161430,188339,349802
642,160954,188528,349516
643,161412,187964,349409
644,160941,188315,349292
645,162675,188621,351331
646,163829,189102,352964
647,163949,188456,352437
648,164472,188583,353090
649,165057,188854,353946
650,164735,189230,353998
651,166910,188972,355915
652,166393,189345,355771
653,166710,190359,357103
654,167471,189047,356552
655,168466,189780,358281
656,168722,190072,358830
657,170194,189520,359748
658,169749,189850,359635
659,168995,189889,358919
660,172213,190034,362281
661,169186,189643,358859
662,170391,189675,360096
663,181911,195094,377041
664,167297,193052,360386
665,169507,194294,363838
666,174252,194117,368403
667,171913,194907,366856
668,181324,194494,375853
669,170524,193854,364413
670,170684,189960,360679
671,169559,189816,359411
672,170111,190420,360566
673,171298,190513,361846
674,170847,191717,362598
675,172733,190910,363678
676,173430,190103,363570
677,172859,190527,363418
678,173935,191085,365057
679,175962,190640,366638
680,176436,190841,367308
681,176399,191423,367856
682,177374,190867,368277
683,176019,191221,367270
684,177221,191021,368284
685,176436,191132,367605
686,176360,192875,369267
687,177082,191364,368476
688,177068,190922,368025
689,178723,191608,370367
690,178406,192008,370447
691,180579,192916,373530
692,177714,192130,369886
693,182228,194404,376664
694,178627,192349,371026
695,180280,191758,372074
696,182125,191993,374148
697,181910,192256,374196
698,182989,192387,375412
699,183060,192249,375346
700,183302,192063,375393
701,184049,192705,376785
702,185581,192925,378542
703,184588,193811,378434
704,186413,192780,379227
705,186676,193070,379778
706,186497,192832,379364
707,187413,192779,380229
708,187605,192847,380487
709,187060,192762,379857
710,188341,193821,382194
711,187868,193592,381492
712,190207,192732,382975
713,188743,193386,382164
714,188278,193095,381410
715,189540,193483,383059
716,190588,193532,384151
717,190573,193866,384475
718,190617,194633,385286
719,192618,193555,386210
720,192314,193572,385922
721,189957,193766,383768
722,192199,194029,386263
723,193375,193915,387322
724,193633,193917,387584
725,195822,194387,390245
726,193974,193817,387826
727,196247,194177,390459
728,196398,194484,390918
729,195856,194092,389986
730,197008,194241,391283
731,197069,194460,391566
732,196830,194428,391291
733,198108,194044,392185
734,199035,194725,393793
735,197801,194426,392263
736,197587,194463,392087
737,198392,194377,392806
738,202347,194311,396695
739,201482,195480,396998
740,201090,194879,396005
741,200645,195339,396021
742,201446,195171,396652
743,199999,194427,394464
744,201264,194772,396071
745,203549,195522,399108
746,203230,196335,399601
747,203046,195900,398981
748,207771,196159,403966
749,202734,196149,398918
750,202157,195625,397817
751,203763,195302,399102
752,204371,196639,401044
753,204436,195759,400230
754,204235,195335,399606
755,206214,196168,402417
756,206246,195329,401611
757,206832,195543,402411
758,206798,195863,402697
759,208854,196041,404932
760,208214,196173,404422
761,208249,196803,405087
762,205007,195284,400327
763,207385,196278,403699
764,209507,196486,406030
765,208585,196264,404885
766,209491,197094,406621
767,211181,196402,407619
768,210578,196237,406847
769,211204,196794,408031
770,212590,196519,409140
771,211295,196373,407705
772,212861,196711,409607
773,211887,196929,408851
774,212518,196673,409227
775,212913,197505,410454
776,215362,195738,411137
777,213143,196490,409672
778,215417,197034,412485
779,214434,197406,411870
780,214904,198179,413116
781,217849,197021,414907
782,214128,196632,410795
783,215849,197170,413054
784,215857,197268,413159
785,217732,197510,415279
786,216424,197667,414126
787,217953,196560,414544
788,217147,197489,414670
789,216172,198132,414341
790,217433,197571,415041
791,216522,197588,414145
792,219019,197732,416788
793,217944,197364,415336
794,218082,198364,416478
795,218890,198459,417385
796,218476,197927,416449
797,219625,197637,417298
798,220279,197175,417490
799,220190,197744,417962
800,219214,198509,417753
801,219169,198197,417403
802,218654,198572,417261
803,219015,198569,417618
804,221201,197610,418848
805,218409,199538,417976
806,219949,198335,418317
807,219733,198369,418138
808,220746,197708,418491
809,220323,197903,418262
810,220670,198207,418911
811,219619,197880,417530
812,219450,197898,417383
813,218886,198615,417536
814,219482,197502,417020
815,220851,197750,418637
816,221463,198090,419592
817,219977,197796,417805
818,219149,202758,421942
819,219774,197582,417391
820,217731,197006,414771
821,218437,197479,415946
822,219693,197941,417664
823,219187,198549,417768
824,217514,199369,416921
825,218183,199825,418044
826,218396,198079,416510
827,218470,198653,417151
828,217830,198925,416784
829,217161,198727,415920
830,217058,198601,415693
831,217958,197872,415864
832,216777,198992,415804
833,217782,199014,416833
834,217619,198906,416561
835,215904,198619,414552
836,216626,198822,415481
837,215346,197899,413281
838,217452,198059,415545
839,215735,198584,414353
840,215565,198633,414231
841,216424,198568,415023
842,215812,198385,414228
843,215674,197582,413292
844,216205,198022,414262
845,214671,197972,412678
846,215089,198395,413520
847,213521,198548,412102
848,213257,197038,410326
849,214362,196989,411383
850,214289,196867,411187
851,214119,198195,412350
852,212680,199111,411824
853,212318,197853,410203
854,212227,197432,409694
855,211731,199045,410810
856,210824,197558,408415
857,211532,197906,409471
858,210396,198147,408570
859,210106,197553,407694
860,210123,197210,407365
861,210497,197251,407778
862,210143,197631,407805
863,210167,197169,407369
864,208059,197327,405420
865,209346,196684,406064
866,207801,197146,404980
867,208417,196628,405078
868,208881,197560,406474
869,207549,197912,405514
870,206567,196505,403106
871,206498,196551,403081
872,206487,196154,402676
873,207850,197285,405169
874,206611,197735,404374
875,205430,196720,402184
876,207474,196844,404353
877,204789,196412,401235
878,206256,197028,403316
879,204873,196981,401884
880,204874,196363,401271
881,205030,195828,400892
882,202814,196148,398995
883,203520,197377,400929
884,203522,196848,400402
885,202452,196702,399186
886,203061,196865,399958
887,202292,195975,398300
888,202117,199219,401369
889,214481,201239,415756
890,203751,200591,404371
891,207416,200630,408080
892,201286,199981,401295
893,202353,199504,401886
894,200657,195531,396219
895,199429,195109,394569
896,198298,195645,393977
897,197874,195314,393214
898,198176,194463,392676
899,197018,195707,392756
900,196775,196006,392814
901,196864,195164,392063
902,196570,195222,391827
903,196777,194856,391667
904,195367,195055,390456
905,195312,195999,391344
906,194890,194794,389714
907,194581,195004,389616
908,195536,195195,390767
909,192875,194217,387128
910,193501,194854,388389
911,192509,195541,388083
912,193266,194546,387846
913,191624,194597,386254
914,190393,194777,385200
915,189344,194361,383735
916,190023,194715,384774
917,189940,194511,384481
918,189514,194656,384204
919,188657,194506,383197
920,187921,193964,381918
921,187575,193669,381278
922,186955,194559,381548
923,186082,193839,379956
924,185744,195246,381024
925,185898,194183,380114
926,184974,193586,378593
927,185562,193688,379283
928,183082,192577,375692
929,184134,197972,382142
930,193381,198128,391545
931,184583,197319,381935
932,187107,197883,385026
933,183890,196842,380765
934,182968,194067,377069
935,182134,193729,375899
936,182266,193915,376210
937,180811,193772,374618
938,180513,193571,374117
939,180319,195560,375914
940,186936,196441,383414
941,178924,196618,375579
942,177645,196410,374085
943,178813,195662,374509
944,178465,191586,370079
945,175785,191707,367525
946,175272,191874,367198
947,174890,192523,367446
948,175174,192124,367327
949,173849,191321,365200
950,173391,192150,365569
951,172572,191056,363661
952,172180,191066,363278
953,172267,191539,363838
954,170152,192682,362866
955,170050,191930,362009
956,169715,192354,362101
957,169218,192337,361587
958,168712,191290,360030
959,167440,190983,358453
960,166806,189985,356816
961,167004,190326,357361
962,165420,190051,355502
963,165514,190965,356509
964,165050,190236,355316
965,164015,189818,353862
966,163478,191019,354525
967,162448,189973,352447
968,161548,189790,351373
969,161572,190344,351948
970,161581,189861,351474
971,160522,189336,349891
972,159613,190025,349669
973,158669,189689,348385
974,158958,189481,348467
975,157783,189435,347250
976,157119,190174,347323
977,157229,189752,347012
978,155811,189023,344864
979,155285,189420,344736
980,154480,188399,342910
981,153302,188791,342124
982,152992,189375,342394
983,152830,188042,340903
984,151893,189166,341090
985,150838,188126,338992
986,150525,188381,338936
987,149828,188713,338572
988,148558,188230,336818
989,147894,189465,337391
990,147796,189176,337004
991,146840,188221,335091
992,145951,188301,334282
993,145395,187592,333019
994,144527,188617,333176
995,142991,189388,332410
996,142905,188819,331755
997,141771,187965,329767
998,141822,188046,329900
999,140200,187420,327648
1000,139867,187427,327326
1001,139470,188045,327548
1002,144602,187402,332042
1003,138704,186957,325690
1004,138518,186829,325378
1005,139629,187043,326720
1006,134329,186363,320725
1007,139037,189016,328083
1008,134162,186579,320790
1009,134208,186051,320292
1010,132765,186312,319111
1011,132570,186220,318824
1012,131263,186508,317799
1013,131264,186588,317884
1014,130649,186010,316691
1015,130198,185985,316216
1016,129707,185322,315061
1017,128367,185918,314319
1018,127285,185616,312929
1019,127284,185024,312336
1020,126031,185528,311591
1021,125638,184877,310545
1022,125390,186777,312203
1023,124033,184031,308095
1024,123589,186303,309925
1025,122862,184437,307329
1026,123062,183973,307070
1027,120711,184351,305092
1028,120852,184180,305064
1029,119751,185313,305096
1030,118402,183775,302210
1031,118506,184667,303204
1032,118344,187816,306188
1033,116798,184291,301116
1034,116544,186064,302635
1035,115644,185753,301427
1036,115248,184163,299455
1037,114558,183074,297662
1038,114368,183839,298235
1039,112991,183980,296998
1040,112869,183149,296050
1041,112132,183567,295729
1042,111892,182973,294899
1043,110738,183904,294673
1044,112992,182323,295348
1045,106191,183245,289469
1046,108651,183055,291739
1047,108563,183001,291595
1048,107548,181791,289372
1049,106478,182570,289081
1050,106246,182289,288567
1051,106206,183035,289273
1052,105626,181746,287404
1053,105076,181473,286582
1054,104493,181860,286385
1055,103163,181780,284977
1056,102654,181787,284473
1057,104450,182391,286874
1058,101630,181000,282663
1059,102183,181152,283371
1060,100922,180948,281901
1061,99858,181991,281881
1062,99309,182078,281418
1063,98677,181667,280381
