OpenMP threads: 12
step,update_time,display_time,total_time
0,1,22223,22782
1,4,8408,8518
2,4,5599,5639
3,6,7520,7544
4,6,5805,5832
5,9,5476,5500
6,9,5586,5609
7,13,5502,5530
8,14,5637,5667
9,16,5783,5815
10,25,5469,5508
11,21,6794,6829
12,27,5493,5541
13,29,5608,5651
14,39,5569,5623
15,43,5508,5564
16,49,5741,5806
17,55,5572,5642
18,60,6029,6106
19,68,5958,6047
20,73,5912,6006
21,77,6020,6116
22,82,5781,5880
23,78,5670,5768
24,85,5763,5866
25,97,5795,5912
26,97,5748,5871
27,98,5549,5662
28,102,5998,6116
29,110,5570,5697
30,114,5717,5848
31,118,5609,5745
32,137,5708,5869
33,131,6216,6366
34,135,5645,5798
35,145,5771,5938
36,157,5611,5786
37,148,5686,5847
38,156,5926,6098
39,154,5590,5760
40,158,5806,5981
41,164,5618,5799
42,170,5651,5839
43,176,6438,6632
44,229,7035,7293
45,201,6091,6317
46,190,5827,6040
47,196,5602,5813
48,198,5866,6081
49,205,5558,5784
50,220,5839,6078
51,219,6527,6766
52,236,5845,6097
53,236,5743,5998
54,243,5770,6032
55,258,5677,5953
56,255,5948,6220
57,255,5584,5857
58,257,5761,6034
59,266,5808,6092
60,276,5665,5957
61,281,5804,6102
62,286,5638,5943
63,288,5798,6102
64,302,5928,6249
65,322,9266,9617
66,349,5889,6265
67,324,5852,6199
68,305,5654,5979
69,312,5858,6186
70,335,5669,6024
71,341,5660,6017
72,346,5932,6294
73,349,5627,5998
74,354,5763,6134
75,364,5693,6077
76,373,5658,6048
77,379,5650,6048
78,388,5705,6111
79,401,5701,6119
80,474,6014,6515
81,412,5678,6112
82,419,5724,6158
83,429,5686,6132
84,444,5730,6190
85,445,5710,6174
86,458,5726,6204
87,458,6023,6499
88,485,5819,6330
89,494,5735,6249
90,482,5907,6408
91,505,5745,6270
92,503,5735,6256
93,506,5749,6275
94,518,5709,6245
95,528,5840,6384
96,541,6219,6779
97,574,6676,7273
98,565,6169,6758
99,563,6322,6908
100,582,5940,6543
101,592,5917,6528
102,588,5868,6473
103,608,5786,6411
104,609,6032,6656
105,621,5946,6587
106,627,5897,6540
107,648,5883,6546
108,644,5863,6525
109,653,5914,6585
110,745,5890,6654
111,708,5752,6475
112,723,5759,6497
113,733,5774,6522
114,746,5844,6605
115,740,5893,6650
116,762,5838,6618
117,782,5818,6617
118,785,5879,6678
119,804,5937,6756
120,808,7110,7933
121,835,6027,6884
122,839,5886,6742
123,848,6223,7087
124,857,5952,6828
125,872,5897,6784
126,885,6083,6983
127,899,5930,6846
128,922,6470,7409
129,988,6883,7895
130,958,6268,7248
131,966,6197,7181
132,985,6006,7009
133,991,8787,9794
134,1259,6969,8251
135,1153,7047,8225
136,1054,6624,7701
137,1066,6688,7774
138,1075,7090,8190
139,1096,6926,8042
140,1100,7423,8549
141,1259,7240,8527
142,1146,6686,7853
143,1151,7243,8415
144,1278,7477,8780
145,1442,8487,9954
146,1195,7026,8244
147,1211,7144,8378
148,1239,6919,8180
149,1373,7148,8547
150,1392,7479,8897
151,1265,7061,8373
152,1290,7049,8376
153,1346,6899,8286
154,1468,7321,8831
155,1334,7194,8574
156,1753,8764,10566
157,1602,7639,9298
158,1373,7064,8459
159,1364,6854,8240
160,1400,7203,8624
161,1423,7234,8682
162,1558,6781,8364
163,1501,6886,8411
164,1445,6380,7848
165,1470,6254,7744
166,1583,7769,9368
167,1509,6339,7870
168,1602,7340,8958
169,1537,6359,7913
170,1556,6215,7790
171,1538,6236,7788
172,1562,6269,7847
173,1589,6232,7836
174,1608,6373,7998
175,1641,6420,8078
176,1683,6486,8189
177,1666,6288,7970
178,1687,6328,8030
179,1704,6349,8068
180,1709,6407,8132
181,1757,6555,8328
182,1780,6469,8271
183,1792,6417,8226
184,1800,6503,8319
185,1833,6396,8245
186,1858,13631,15504
187,2013,8193,10424
188,1956,6782,8840
189,1937,6896,8853
190,1955,6942,8915
191,1966,6660,8643
192,2012,7231,9263
193,1994,6965,8980
194,2040,7003,9061
195,2053,6643,8713
196,2054,6867,8939
197,2116,6936,9068
198,2118,6864,9018
199,2124,6677,8817
200,2145,6752,8913
201,2164,7737,9919
202,2183,6743,8946
203,2174,7232,9424
204,2186,6729,8932
205,2254,6738,9009
206,2269,6662,8947
207,2259,6783,9061
208,2295,6660,8972
209,2311,6720,9049
210,2322,6833,9173
211,2330,6653,9000
212,2350,6763,9131
213,2386,6718,9122
214,2354,6701,9072
215,2389,6782,9188
216,2422,6734,9173
217,2417,7183,9618
