OpenMP threads: 12
step,update_time,display_time,total_time
0,1,22316,22870
1,3,8839,8944
2,4,5762,5803
3,17,7630,7690
4,5,6593,6620
5,7,5675,5703
6,9,5773,5800
7,11,5774,5806
8,13,5706,5733
9,15,5778,5813
10,16,5592,5624
11,22,5701,5737
12,21,6845,6881
13,26,5582,5626
14,29,5824,5869
15,34,5622,5671
16,40,5735,5791
17,42,6035,6092
18,49,5794,5862
19,53,5925,5995
20,58,5635,5708
21,65,5781,5862
22,77,5567,5659
23,82,5702,5798
24,78,5922,6016
25,87,5581,5681
26,92,5873,5988
27,100,5625,5740
28,108,5682,5805
29,122,5630,5767
30,127,5629,5772
31,137,5935,6089
32,146,5690,5853
33,162,5821,5998
34,166,5880,6062
35,182,5688,5888
36,192,5955,6163
37,204,5697,5917
38,220,5868,6103
39,236,5817,6067
40,251,5897,6162
41,261,5740,6018
42,297,5749,6062
43,297,6118,6430
44,307,6938,7269
45,329,5996,6351
46,338,6116,6473
47,324,5894,6234
48,343,5957,6315
49,359,5873,6250
50,370,5962,6349
51,379,5779,6175
52,397,6169,6583
53,419,6148,6586
54,460,5841,6319
55,443,6099,6556
56,482,6161,6661
57,485,6000,6502
58,518,6097,6634
59,523,6116,6657
60,550,5878,6444
61,572,6103,6690
62,588,6204,6810
63,605,5959,6582
64,690,6258,6968
65,647,6347,7010
66,674,6017,6712
67,800,6277,7093
68,768,6094,6880
69,801,5886,6704
70,840,6098,6953
71,843,6248,7108
72,859,7226,8102
73,912,6097,7031
74,923,6225,7165
75,954,6522,7493
76,970,6116,7104
77,990,6128,7135
78,1023,6280,7320
79,1047,6301,7365
80,1066,6261,7344
81,1111,6205,7332
82,1117,6358,7492
83,1149,6296,7461
84,1186,6190,7394
85,1213,6399,7629
86,1232,6446,7696
87,1247,6368,7632
88,1297,6235,7548
89,1328,6332,7675
90,1350,6514,7882
91,1426,7541,8985
92,1413,6823,8257
93,1476,6669,8167
94,1608,6723,8348
95,1536,6280,7834
96,1561,6737,8315
97,1605,6921,8544
98,1649,7155,8825
99,1700,6999,8721
100,1767,7322,9112
101,1776,6968,8764
102,1840,6809,8668
103,1902,7103,9026
104,1872,7271,9165
105,1910,7476,9410
106,1927,7239,9192
107,1997,7642,9662
108,2031,7337,9390
109,2035,7103,9160
110,2134,7343,9498
111,2164,7562,9748
112,2159,7336,9524
113,2249,7283,9554
114,2335,7237,9596
115,2449,7242,9713
116,2472,7303,9798
117,2424,7402,9850
118,2506,7408,9938
119,2484,7254,9761
120,2529,7346,9897
121,2740,7570,10336
122,2577,7222,9821
123,2594,7041,9655
124,2647,7089,9765
125,2771,7187,9980
126,2750,7084,9857
127,2869,7329,10221
128,2792,7237,10059
129,2819,7228,10070
130,2816,7205,10044
131,3014,7200,10236
132,2969,7238,10228
133,3508,7364,10893
134,3150,7504,10676
135,3149,7769,10940
136,3131,7496,10649
137,3197,7565,10783
138,3228,7599,10850
139,3346,7622,10990
140,3350,7409,10782
141,3487,7654,11167
142,3593,7541,11157
143,3519,7445,10982
144,3476,7518,11011
145,3557,7786,11362
146,3598,7789,11406
147,3640,7530,11186
148,3665,7571,11259
149,3747,7529,11295
150,3797,7759,11575
151,3773,7853,11645
152,3854,7938,11814
153,3914,7755,11691
154,3998,7599,11616
155,4021,7689,11728
156,4159,7756,11934
157,4196,7831,12048
158,4074,7904,11997
159,4189,7851,12058
160,4227,7881,12127
161,4342,7789,12154
162,4410,7926,12354
163,4398,7900,12315
164,4539,7997,12555
165,4488,7781,12291
166,4577,8075,12670
167,4635,7929,12582
168,4531,8068,12621
169,4726,8088,12835
170,4770,8120,12911
171,4885,8232,13138
172,5040,8165,13229
173,5122,8546,13692
174,5144,8329,13496
175,5355,8323,13701
176,5232,8449,13702
177,5243,8337,13602
178,5494,8600,14118
179,5357,8501,13876
180,6035,8629,14688
181,5668,8759,14445
182,5724,8732,14477
183,5595,8325,13939
184,5694,8326,14038
185,5622,8201,13842
186,5723,8424,14161
187,7205,8714,15938
188,6047,8567,14631
189,6229,8874,15124
190,6274,8603,14892
191,6628,8330,14975
192,6676,9949,16649
193,6967,9155,16143
194,6788,8812,15619
195,6685,9020,15730
196,6801,8856,15677
197,6856,8914,15789
198,7202,9257,16483
199,7055,9129,16206
200,7107,9314,16441
