OpenMP threads: 12
step,update_time,display_time,total_time
0,1,22054,22785
1,3,8321,8429
2,4,5789,5830
3,6,7662,7685
4,6,5977,6003
5,14,5577,5616
6,10,5887,5912
7,14,5547,5581
8,13,5860,5887
9,17,5508,5545
10,20,5656,5692
11,23,7032,7077
12,26,5678,5726
13,30,5797,5840
14,39,5597,5657
15,47,5701,5763
16,50,6285,6357
17,59,6760,6841
18,75,6472,6570
19,69,6702,6797
20,93,6321,6442
21,78,6064,6165
22,88,6313,6424
23,80,5774,5876
24,85,6140,6247
25,91,6369,6483
26,158,11235,11417
27,102,5545,5667
28,103,5994,6111
29,111,5815,5944
30,114,5609,5736
31,120,5992,6139
32,125,5867,6018
33,134,6289,6448
34,140,5913,6082
35,139,5626,5780
36,143,5754,5913
37,146,5475,5637
38,165,5689,5870
39,153,5713,5881
40,158,5655,5827
41,162,6329,6507
42,170,5937,6125
43,177,6591,6794
44,188,6359,6573
45,186,6120,6326
46,194,5911,6121
47,211,6068,6296
48,200,5773,5987
49,204,6462,6686
50,217,6520,6757
51,219,6755,6992
52,227,6074,6322
53,231,5743,5995
54,235,5862,6113
55,241,6008,6269
56,251,5858,6128
57,255,5973,6247
58,268,6071,6359
59,266,5789,6068
60,273,6042,6337
61,280,5726,6025
62,284,5926,6223
63,294,6056,6369
64,303,6001,6324
65,306,6425,6746
66,320,6163,6504
67,336,6016,6374
68,305,6189,6518
69,320,5946,6289
70,321,6027,6361
71,335,6164,6521
72,356,6045,6423
73,347,5891,6253
74,354,6089,6460
75,361,5702,6078
76,374,6426,6812
77,386,6254,6664
78,405,6181,6608
79,400,6283,6702
80,416,6193,6634
81,413,5900,6342
82,424,6358,6795
83,436,6181,6636
84,452,5767,6241
85,442,6095,6553
86,449,6112,6580
87,468,5776,6264
88,471,6075,6562
89,480,6037,6538
90,504,5855,6378
91,504,6072,6592
92,501,5959,6479
93,517,5984,6514
94,515,6116,6651
95,537,6564,7119
96,566,6559,7147
97,552,6991,7569
98,568,6651,7244
99,580,6230,6831
100,585,6129,6735
101,582,6256,6857
102,585,7591,8196
103,630,6566,7214
104,613,6978,7609
105,687,6555,7267
106,638,6128,6789
107,643,6214,6871
108,645,6874,7537
109,661,6990,7670
110,767,6982,7771
111,716,6447,7190
112,726,6433,7180
113,760,6528,7311
114,823,7073,7919
115,806,6643,7473
116,775,6471,7269
117,794,6372,7187
118,825,6908,7753
119,820,6969,7810
120,899,8437,9359
121,835,6752,7610
122,850,6716,7588
123,861,6899,7786
124,916,6569,7506
125,883,6799,7702
126,895,7145,8063
127,909,7012,7947
128,958,7146,8132
129,950,6882,7853
130,945,7060,8024
131,967,7292,8284
132,1018,6915,7956
133,998,6209,7226
134,1009,6313,7342
135,1026,6436,7480
136,1033,6259,7311
137,1056,6328,7399
138,1076,6193,7290
139,1074,6319,7409
140,1090,6136,7241
141,1111,6163,7289
142,1119,6263,7398
143,1128,6392,7536
144,1162,6341,7518
145,1161,6329,7508
146,1182,6522,7721
147,1203,6514,7734
148,1193,6335,7542
149,1227,6286,7531
150,1236,6454,7705
151,1233,6521,7769
152,1252,6320,7586
153,1279,6363,7659
154,1276,6415,7707
155,1299,6462,7777
156,1295,6326,7637
157,1305,6354,7680
158,1332,6422,7772
159,1338,6799,8152
160,1400,6790,8211
161,1368,6746,8137
162,1405,6454,7879
163,1524,6932,8480
164,1434,7153,8609
165,1477,7338,8839
166,1491,7042,8565
167,1496,6857,8375
168,1626,6510,8158
169,1726,6627,8380
170,1552,6641,8213
171,1541,6734,8297
172,1579,6774,8373
173,1609,6740,8369
174,1637,6619,8277
175,1649,6631,8301
176,1629,6774,8424
177,1646,6770,8437
178,1667,6791,8479
179,1663,6725,8408
180,1736,6547,8305
181,1722,6616,8363
182,1758,6764,8546
183,1752,6825,8599
184,1761,6803,8587
185,1797,6896,8715
186,1842,6978,8842
187,1902,6801,8724
188,1885,6836,8742
189,1913,7387,9321
190,1917,9797,11739
191,1948,7299,9270
192,2006,6972,8999
193,1981,7046,9049
194,1993,7152,9167
195,2007,7284,9315
196,2007,7204,9234
197,2065,7300,9388
198,2072,6911,9004
199,2061,6960,9041
200,2102,7031,9152
201,2152,8027,10196
202,2140,7082,9244
203,2155,6893,9067
204,2206,6749,8975
205,2206,6849,9076
206,2205,6862,9088
207,2212,6807,9040
208,2215,7023,9257
209,2236,6925,9181
210,2264,7066,9351
211,2253,6988,9260
212,2293,6981,9296
213,2332,7080,9431
214,2304,7262,9586
215,2347,7408,9777
216,2388,7213,9621
217,2341,6941,9300
218,2352,6839,9208
219,2361,6786,9166
220,2417,6716,9149
221,2438,6872,9326
222,2433,6750,9205
223,2454,6881,9350
224,2420,7446,9883
225,2573,7181,9777
226,2480,6897,9401
227,2499,7005,9523
228,2557,6933,9511
229,2540,7012,9571
230,2568,6801,9385
231,2595,6858,9470
232,2603,6890,9509
233,2619,7167,9801
234,2618,6893,9528
235,2664,7065,9746
236,2727,7143,9893
237,2688,6930,9634
238,2719,6936,9671
239,2759,6861,9637
240,3114,6997,10127
241,2831,6932,9780
242,2835,6891,9743
243,2878,6854,9749
244,2890,6845,9752
245,2897,6913,9826
246,2933,6917,9866
247,2954,7127,10095
248,3000,7581,10607
249,3709,7015,10746
250,2978,6962,9956
251,3009,6932,9957
252,3051,6941,10007
253,3083,7023,10122
254,3116,6995,10127
255,3098,6914,10028
256,3131,7450,10597
257,3321,7566,10910
258,3179,7264,10466
259,3166,7297,10481
260,3216,7095,10331
261,3223,7207,10448
262,3246,7096,10358
263,3297,7201,10514
264,3337,7093,10447
265,3326,7218,10559
266,3395,7206,10618
267,3337,7191,10545
268,3341,7203,10560
269,3399,7299,10714
270,3408,7148,10573
271,3416,7241,10673
272,3540,7288,10849
273,3463,7205,10684
274,3499,7224,10739
275,3521,7276,10813
276,3516,7372,10904
277,3513,7297,10827
278,3509,7335,10859
279,3595,7345,10957
280,3575,7320,10912
281,3616,7386,11018
282,3655,7350,11021
283,3682,7463,11162
284,3678,7447,11142
285,3705,7396,11117
286,3725,7377,11119
287,3722,7441,11180
288,3688,8051,11757
289,3855,7543,11423
290,4050,7679,11749
291,3755,7463,11237
292,3831,7570,11419
293,3870,7492,11377
294,3895,7498,11409
295,3888,7520,11427
296,3904,7465,11387
297,3935,7544,11497
298,3906,7524,11447
299,3994,7485,11495
300,4010,7653,11679
301,4033,7588,11638
302,4050,7639,11705
303,4080,7531,11628
304,4106,7594,11716
305,4104,7490,11611
306,4131,7614,11761
307,4141,7596,11754
308,4105,7630,11751
309,4167,7581,11769
310,4171,7723,11910
311,4241,7743,12002
312,4232,7720,11970
313,4250,7608,11874
314,4269,7739,12024
315,4268,7717,12001
316,4266,7622,11903
317,4304,7662,11983
318,4339,7747,12102
319,4415,7895,12326
320,4414,9005,13436
321,4414,8696,13131
322,4501,7934,12458
323,4437,7853,12310
324,4454,7860,12333
325,4450,7745,12211
326,4546,7748,12308
327,4547,7953,12515
328,4485,7877,12378
329,4581,7883,12482
330,4465,7910,12394
331,4536,7904,12459
332,4587,8046,12650
333,4598,7931,12547
334,4624,7937,12580
335,4626,8007,12651
336,4701,8055,12776
337,4711,8022,12756
338,4707,7847,12574
339,4734,8027,12777
340,4743,8199,12958
341,4774,8085,12877
342,4871,9326,14217
343,7770,8880,16681
344,4910,8193,13126
345,4832,8412,13267
346,4895,8127,13039
347,4922,8195,13133
348,4883,8210,13109
349,4928,8305,13248
350,4912,8047,12973
351,4956,8393,13366
352,5003,8781,13807
353,5112,8347,13481
354,5088,8253,13360
355,5108,8225,13352
356,5161,8454,13630
357,5140,8249,13408
358,5115,8253,13384
359,5192,8477,13690
360,5190,8275,13481
361,5146,8254,13416
362,5260,8231,13507
363,5292,8326,13634
364,5323,8284,13624
365,5271,8344,13632
366,5290,8262,13569
367,5244,8473,13734
368,5278,8705,13998
369,5314,8287,13617
370,5355,8439,13810
371,5393,8369,13778
372,5383,8488,13886
373,6084,8612,14713
374,5407,8537,13962
375,5427,8438,13880
376,5500,8443,13956
377,5518,8520,14052
378,5480,8432,13925
379,5560,8534,14108
380,5557,8572,14143
381,5606,8580,14201
382,5571,8614,14204
383,5624,8617,14257
384,5681,9021,14717
385,5704,8728,14450
386,5707,8690,14413
387,5711,8705,14429
388,5713,8594,14326
389,5772,8680,14466
390,5820,8613,14446
391,5832,8598,14444
392,5852,8839,14704
393,5913,8741,14668
394,5914,8794,14722
395,5942,8688,14645
396,6834,17304,24164
397,7383,9206,16612
398,6475,9610,16104
399,6613,9497,16133
400,6676,9063,15758
401,6265,9124,15405
402,6380,10332,16730
403,6357,9400,15777
404,6392,9564,15976
405,6587,10172,16779
406,6421,9474,15916
407,6613,9249,15884
408,6443,9418,15879
409,6938,10253,17217
410,6554,9348,15924
411,6539,9119,15673
412,6574,9287,15874
413,6598,9297,15913
414,6879,9482,16383
415,6810,9403,16232
416,6856,9869,16747
417,6964,9872,16857
418,7086,9380,16486
419,6961,9486,16467
420,6995,9624,16638
421,7190,9796,17010
422,8705,10607,19340
423,6857,9736,16612
424,7146,9617,16784
425,6901,9448,16367
426,6919,9827,16762
427,7071,9519,16610
428,7124,9398,16539
429,6987,9704,16708
430,7160,9602,16783
431,7111,9554,16684
432,7146,9683,16848
433,7478,9989,17489
434,7919,9771,17711
435,7458,9933,17415
436,7064,9604,16688
437,7228,9605,16859
438,7170,9539,16731
439,7144,9633,16797
440,7214,9589,16823
441,7224,9588,16832
442,7214,9612,16846
443,7287,9739,17050
444,7276,9738,17033
445,7396,10169,17587
446,7388,9822,17232
447,7366,9709,17095
448,7457,10185,17666
449,7414,9769,17206
450,7416,10098,17533
451,7548,9997,17565
452,7916,9961,17902
453,7489,9789,17295
454,7902,10160,18089
455,7706,9933,17657
456,7592,9793,17402
457,7742,10076,17837
458,7983,10442,18447
459,7859,9937,17819
460,7759,10070,17849
461,7749,10046,17812
462,9101,15139,24261
463,8083,10690,18794
464,8318,10235,18577
465,8089,10403,18512
466,8048,10661,18728
467,8090,10261,18371
468,8140,10327,18485
469,8201,10122,18342
470,8267,10460,18747
471,9104,17907,27037
472,8073,10167,18258
473,8212,10078,18309
474,8131,10191,18340
475,8243,10168,18430
476,8194,10336,18549
477,8285,10398,18705
478,8341,10483,18852
479,9365,10462,19856
480,8340,12156,20514
481,9012,10461,19492
482,8616,10647,19283
483,8580,10669,19269
484,8562,10841,19439
485,8612,10618,19249
486,8784,10694,19499
487,8559,10441,19015
488,8659,10583,19258
489,8670,11038,19728
490,9739,10787,20547
491,9050,10560,19630
492,9010,10703,19734
493,8895,10520,19435
494,8831,10957,19805
495,9023,10694,19737
496,8937,10841,19798
497,9060,10688,19767
498,9299,10995,20314
499,8974,10972,19965
500,9153,10806,19979
501,9110,10874,20004
502,9126,10806,19951
503,9089,10967,20076
504,9355,11091,20473
505,9012,10683,19710
506,9118,10916,20058
507,9204,11165,20396
508,9091,10759,19867
509,9868,11378,21274
510,13241,12188,25460
511,9434,11066,20520
512,10049,11321,21396
513,9449,11211,20680
514,9613,11296,20929
515,9779,10987,20787
516,9798,11885,21703
517,9630,11356,21007
518,9648,11034,20702
519,9672,11487,21179
520,9871,11311,21204
521,10031,11583,21634
522,10127,11525,21673
523,9996,11666,21679
524,10061,11756,21840
525,10193,11417,21629
526,10395,11189,21605
527,10106,11488,21615
528,11096,12993,24111
529,9950,11776,21750
530,9938,11807,21771
531,9996,11339,21359
532,9865,11026,20909
533,10210,11391,21622
534,9987,12090,22099
535,10044,11307,21375
536,10428,11683,22136
537,10136,11581,21741
538,10092,11994,22108
539,10382,11588,21995
540,10130,11396,21549
541,10137,11264,21419
542,9958,11973,21948
543,10182,12735,22936
544,10478,11963,22470
545,10261,11497,21780
546,10268,11666,21950
547,10303,12700,23022
548,10372,11548,21944
549,10375,11424,21816
550,10379,11410,21808
551,10536,11430,21985
552,10400,11620,22035
553,10411,12103,22531
554,10598,11610,22230
555,10826,11814,22667
556,10495,11832,22344
557,10540,11900,22465
558,10573,11594,22185
559,10631,11612,22262
560,10628,11646,22292
561,10615,11657,22287
562,10688,11692,22399
563,10712,11660,22391
564,10729,12257,23004
565,10835,12115,22970
566,10750,11919,22690
567,10801,11829,22649
568,10787,12083,22889
569,10866,11999,22883
570,10941,11884,22840
571,10950,12108,23076
572,10931,12116,23067
573,11044,12010,23074
574,11145,12168,23330
575,11155,12384,23560
576,11351,13098,24471
577,11185,12226,23431
578,11285,12199,23501
579,11184,11905,23106
580,11095,11960,23071
581,11043,11995,23054
582,11134,12314,23468
583,11106,11983,23106
584,11155,12085,23257
585,11116,12003,23136
586,11244,12031,23292
587,11306,13300,24620
