Taille du terrain : 1
Nombre de cellules par direction : 700
Vecteur vitesse : [0, 0]
Position initiale du foyer (col, ligne) : 350, 350
OpenMP threads: 1
step,update_time,display_time,total_time
0,12,63117,63942
1,8,38176,38282
2,11,35851,35897
3,10,37644,37667
4,14,34954,34984
5,12,35748,35773
6,22,37055,37095
7,23,36093,36135
8,26,35735,35779
9,29,35268,35310
10,29,35736,35776
11,29,35385,35425
12,34,35691,35737
13,44,35615,35674
14,47,35684,35743
15,52,35436,35502
16,57,35262,35335
17,59,36290,36362
18,65,37184,37262
19,74,35455,35544
20,78,35656,35747
21,85,35811,35907
22,102,36897,37020
23,108,37211,37341
24,116,36735,36886
25,123,36691,36834
26,133,36273,36427
27,141,38469,38631
28,163,37919,38113
29,163,36428,36612
30,168,35671,35861
31,172,34786,34976
32,186,34982,35189
33,189,35278,35488
34,209,35215,35448
35,210,34966,35192
36,218,35525,35763
37,227,34839,35084
38,237,34894,35146
39,252,35606,35872
40,274,35804,36095
41,280,35472,35768
42,311,36463,36795
43,318,35390,35722
44,351,34933,35303
45,374,34203,34590
46,371,34924,35303
47,383,34894,35284
48,405,35301,35712
49,423,34735,35165
50,418,34972,35396
51,437,34978,35422
52,458,34408,34873
53,473,34340,34820
54,479,34537,35022
55,504,35083,35594
56,524,34722,35252
57,552,34471,35030
58,570,34006,34584
59,580,34724,35310
60,609,34844,35460
61,637,34121,34767
62,659,34384,35049
63,678,33951,34639
64,707,34662,35376
65,768,34407,35196
66,748,34289,35047
67,872,34755,35634
68,865,33969,34841
69,880,34003,34890
70,919,33770,34698
71,950,33941,34898
72,966,34452,35426
73,995,34327,35328
74,1024,34282,35313
75,1053,34218,35279
76,1060,34820,35887
77,1094,34169,35270
78,1123,34188,35318
79,1186,33830,35025
80,1208,34291,35506
81,1243,34810,36060
82,1271,34099,35377
83,1296,34461,35763
84,1330,34600,35938
85,1360,34905,36272
86,1408,34486,35902
87,1441,34963,36412
88,1474,34385,35865
89,1501,34616,36125
90,1554,35252,36813
91,1602,34119,35728
92,1611,34553,36171
93,1726,33980,35714
94,1613,33992,35612
95,1626,34898,36531
96,1711,34734,36457
97,1840,34677,36536
98,1767,33972,35749
99,1800,33873,35680
100,1827,34550,36384
101,1856,34233,36096
102,1875,34506,36388
103,1994,35153,37154
104,1989,34143,36139
105,2030,34212,36249
106,2072,34503,36582
107,2116,34465,36589
108,2149,34550,36707
109,2200,34041,36248
110,2250,35346,37603
111,2298,35215,37520
112,2337,34821,37164
113,2411,35321,37740
114,2601,35403,38023
115,2501,35615,38124
116,2578,35831,38416
117,2616,35291,37914
118,2671,36086,38765
119,2758,35596,38361
120,2798,35592,38397
121,2825,34945,37777
122,2871,35720,38598
123,2908,34501,37416
124,3017,35332,38358
125,3090,35452,38550
126,3128,35649,38785
127,3215,36036,39258
128,3230,35121,38358
129,3474,34825,38320
130,3369,35064,38444
131,3956,36063,40029
132,3497,34232,37737
133,3539,35852,39398
134,3650,35024,38681
135,3633,34668,38310
136,4017,34522,38548
137,3714,34535,38257
138,3723,34346,38075
139,3822,34666,38496
140,3807,34709,38524
141,3908,34915,38831
142,4011,34728,38746
143,4070,35294,39371
144,4130,34315,38452
145,4216,34849,39073
146,4280,34113,38401
147,4330,35450,39788
148,4244,34732,38982
149,4369,34439,38816
150,4459,34376,38842
151,4478,34540,39025
152,4574,34347,38930
153,4678,34606,39291
154,4782,34765,39555
155,4854,34646,39507
156,4944,35206,40158
157,4984,35606,40597
158,4951,34602,39560
159,5119,34861,39988
160,5173,34900,40082
161,5837,34640,40497
162,5587,34537,40140
163,5600,34674,40287
164,5666,35376,41054
165,5589,35400,41002
166,5664,34596,40270
167,5791,35025,40824
168,5596,34767,40372
169,5810,34604,40424
170,5864,33837,39710
171,6088,34549,40651
172,6125,34772,40907
173,6190,34681,40880
174,6344,34806,41161
175,6352,35218,41580
176,6492,34692,41194
177,6517,35292,41819
178,6584,35033,41627
179,6677,34842,41529
180,6660,35680,42349
181,6845,35199,42053
182,7121,35102,42233
183,7026,34911,41949
184,7071,35507,42589
185,7050,35975,43035
