Taille du terrain : 1
Nombre de cellules par direction : 700
Vecteur vitesse : [0, 0]
Position initiale du foyer (col, ligne) : 350, 350
OpenMP threads: 5
step,update_time,display_time,total_time
0,416,41213,43158
1,33,40182,40318
2,35,36792,36870
3,38,44485,44535
4,34,35911,35959
5,36,36549,36596
6,41,36276,36327
7,53,41644,41708
8,58,37061,37144
9,60,36004,36081
10,64,36583,36659
11,78,36252,36342
12,55,35704,35772
13,97,35685,35795
14,104,35913,36031
15,101,35908,36024
16,80,35558,35655
17,126,35524,35665
18,129,36707,36851
19,151,35881,36047
20,145,35524,35685
21,111,35709,35834
22,102,35478,35593
23,116,35679,35810
24,221,35609,35847
25,235,35482,35732
26,244,35895,36154
27,253,35691,35960
28,269,35912,36196
29,300,35898,36215
30,190,35979,36184
31,200,35721,35935
32,305,35983,36303
33,212,35777,36005
34,376,35747,36138
35,237,35543,35795
36,389,35900,36304
37,302,35549,35866
38,272,35565,35852
39,490,35820,36329
40,285,35790,36091
41,541,35734,36289
42,324,36031,36369
43,324,36226,36569
44,405,35709,36133
45,448,35049,35510
46,416,35726,36153
47,435,35643,36089
48,450,35757,36219
49,807,35574,36394
50,500,35772,36284
51,634,36304,36950
52,591,36224,36827
53,517,35926,36456
54,531,35957,36500
55,624,35674,36312
56,611,36169,36792
57,656,36537,37208
58,625,35894,36532
59,653,36104,36768
60,655,35709,36380
61,709,35968,36689
62,753,36276,37042
63,742,35721,36476
64,779,35682,36475
65,932,35847,36794
66,777,36194,36988
67,948,39215,40176
68,1056,35319,36393
69,984,35302,36301
70,1028,35892,36932
71,978,36106,37104
72,1052,36431,37496
73,1093,36410,37515
74,1200,36428,37640
75,1121,35505,36639
76,1195,35959,37169
77,1114,35934,37059
78,1248,36404,37665
79,1191,35802,37005
80,1228,35954,37196
81,1289,35983,37284
82,1458,36345,37816
83,1319,36170,37502
84,1368,35918,37299
85,1400,35349,36761
86,1543,35817,37373
87,1462,36247,37721
88,1521,36118,37652
89,1537,35762,37313
90,1703,35991,37710
91,1621,36103,37739
92,1625,35581,37219
93,1745,35469,37226
94,1695,36213,37921
95,1625,35611,37248
96,1814,35690,37517
97,1754,35930,37698
98,1894,36174,38082
99,1792,35428,37233
100,1867,34958,36837
101,1918,34951,36879
102,1915,35361,37285
103,1904,35216,37131
104,2005,35832,37847
105,2034,35063,37107
106,2118,35806,37936
107,2109,35118,37237
108,2195,35297,37501
109,2194,35838,38040
110,2375,35766,38155
111,2300,35623,37936
112,2349,35427,37789
113,2378,35658,38053
114,2525,35561,38099
115,2559,35520,38093
116,2532,35453,37998
117,2613,35594,38220
118,2648,35599,38262
119,2708,36190,38910
120,2795,35692,38500
121,2789,35610,38412
122,2849,35881,38743
123,2942,35492,38449
124,2982,35729,38725
125,3077,35914,39005
126,3241,36080,39338
127,3210,35771,38995
128,3186,35848,39049
129,3283,35972,39271
130,3347,35890,39252
131,3931,35884,39830
132,3443,35651,39108
133,3486,35067,38564
134,3528,35121,38660
135,3614,35454,39078
136,3604,36046,39661
137,3675,35280,38971
138,3719,35309,39038
139,3802,35068,38881
140,3747,35365,39123
141,3946,35999,39961
142,3945,36274,40235
143,4054,36440,40510
144,4098,35801,39918
145,4155,35907,40080
146,4315,35932,40266
147,4256,36288,40560
148,4291,36275,40584
149,4317,36091,40425
150,4475,35923,40415
151,4556,36496,41069
152,4518,35766,40301
153,4708,36151,40877
154,4721,35893,40631
155,4875,35778,40670
156,4869,35910,40795
157,4953,35528,40499
158,5033,35735,40785
159,5171,35780,40969
160,5227,36370,41613
161,5281,36133,41432
162,5372,35879,41269
163,5369,35690,41077
164,5448,35234,40697
165,5393,35384,40788
166,5505,35401,40919
167,5675,35464,41153
168,5551,35592,41154
169,5650,35512,41174
170,5730,35233,40975
171,5861,35498,41372
172,6102,35944,42059
173,5659,36324,42002
174,6474,36289,42785
175,6276,35434,41728
176,7500,35760,43286
177,6007,35417,41438
178,6084,35409,41505
179,6173,34881,41065
180,6313,35456,41781
181,6355,35482,41849
182,6427,36739,43179
183,7841,36041,43901
184,6819,35370,42207
185,7047,35383,42449
186,7625,35182,42824
187,6529,35695,42244
188,6799,35390,42207
189,7176,35151,42345
190,7100,35161,42279
191,7469,35586,43075
192,7308,36186,43514
193,7317,35647,42983
194,7411,35742,43172
195,6845,35448,42311
196,7228,35317,42562
197,7175,36352,43547
198,7409,35069,42495
199,7514,35338,42868
200,7662,35104,42781
201,7708,35142,42867
202,7809,35034,42859
203,7885,34843,42743
204,8101,35759,43879
205,8307,35742,44069
206,8469,35628,44118
207,8560,35471,44050
208,8577,35426,44022
209,8838,35859,44716
210,8809,35300,44128
211,8984,35274,44277
212,9074,36155,45248
213,9139,35371,44530
214,9213,35736,44969
215,9494,36577,46090
216,9533,36569,46122
217,9575,35720,45314
218,9751,35694,45464
219,9983,36384,46387
220,10071,36218,46308
221,10109,36166,46294
222,9973,35626,45618
223,9788,35992,45799
224,10232,35959,46211
225,10280,36190,46494
226,10512,36696,47226
227,10674,35715,46408
228,10326,35803,46148
229,10502,35596,46114
230,10633,36504,47155
231,10516,35674,46207
232,10840,35310,46167
233,10906,35644,46567
234,11166,36770,47954
235,17178,45690,62897
236,11962,36027,48012
237,11456,36333,47807
238,11739,35708,47469
239,11981,36231,48231
240,12010,36640,48674
241,11872,36302,48192
242,11982,37535,49536
243,12181,36102,48302
244,12056,36759,48833
245,12037,36533,48586
246,12454,36290,48762
247,12587,36819,49425
248,12797,36627,49442
249,12900,36445,49365
250,12932,36066,49016
251,13063,35735,48817
252,12937,35537,48493
253,13038,36439,49497
254,13050,35973,49040
255,13252,35314,48585
256,13983,35864,49870
257,13739,36634,50393
258,13713,36340,50074
259,13851,37081,50953
260,13927,36377,50326
261,14100,35566,49687
262,14154,35387,49562
263,14314,35371,49706
264,16207,35607,51835
265,14347,35836,50204
266,15185,35719,50927
267,15063,35631,50718
268,15069,35940,51038
269,15234,35857,51114
270,15273,36114,51411
271,15300,35292,50615
272,15272,35625,50920
273,14438,35713,50175
274,14570,35649,50240
275,15240,36384,51646
276,15959,35804,51785
277,15972,36109,52104
278,16245,35789,52058
279,16199,35990,52211
280,15864,36224,52112
281,16049,36019,52092
282,17021,35553,52597
283,16491,36029,52542
284,16624,35619,52266
285,16762,36347,53131
286,16920,35127,52074
287,17000,35615,52636
288,19192,36207,55428
289,17931,36380,54335
290,18390,36450,54865
291,17606,35684,53313
292,17790,36544,54358
293,17914,35436,53374
294,17892,35186,53101
295,18201,35618,53842
296,18277,35063,53362
297,18820,36311,55155
298,19753,35858,55638
299,19849,35934,55808
300,19270,35867,55161
301,19400,35952,55380
302,19325,36220,55570
303,19985,35909,55918
304,19688,35940,55652
305,19801,36664,56488
306,20431,37009,57464
307,20156,37288,57469
308,20569,36105,56697
309,20572,35881,56477
310,20401,36942,57366
311,21588,37497,59111
312,21006,35569,56600
313,20641,36470,57135
314,20495,35893,56411
315,21159,35739,56923
316,20928,35306,56260
317,20996,36154,57175
318,21299,36361,57686
319,21436,35849,57310
320,23656,36361,60042
321,23052,36516,59593
322,22333,35774,58131
323,22198,35543,57768
324,21964,35426,57415
325,22437,36477,58939
326,22239,35322,57586
327,22748,35677,58450
328,23114,35786,58924
329,24566,35860,60451
330,23312,35735,59074
331,23912,35940,59877
332,23756,36722,60505
333,24081,35950,60057
334,24594,36182,60801
335,25245,37438,62710
336,25273,35506,60801
337,24719,35194,59934
338,27593,36389,64006
339,25784,37020,62830
340,25928,35976,61930
341,27107,37557,64688
342,25252,35950,61227
343,24852,36241,61119
344,24813,35678,60518
345,25281,36564,61872
346,25226,35713,60965
347,25425,35795,61246
348,25780,36080,61884
349,25582,35473,61081
350,25800,36324,62150
351,26044,35829,61899
352,28388,36338,64753
353,27604,36859,64492
354,27259,35497,62782
355,26883,36353,63262
356,26849,35202,62077
357,26776,35195,61997
358,26891,36325,63243
359,27331,37453,64811
360,29147,35536,64708
361,29560,36083,65666
362,30322,35865,66210
363,31293,36536,67853
364,30809,37752,68584
365,39968,37254,77245
366,30935,35987,66943
367,35255,43839,79117
368,37758,37077,74859
369,30762,36148,66937
370,28963,35834,64823
371,36724,37154,73901
372,32005,39575,71605
373,32229,36696,68952
374,31537,35983,67548
375,33861,35790,69680
376,29779,35672,65480
377,33625,39608,73263
378,31522,36043,67593
379,30539,47040,77609
380,34257,36231,70518
381,32458,36139,68626
382,34810,38420,73258
383,38309,36169,74499
384,33182,36371,69578
385,35086,36596,71702
386,32352,36863,69238
387,32166,35931,68122
388,32289,37414,69732
389,32774,37037,69836
390,32639,35969,68636
391,35491,36848,72360
392,36151,36212,72391
393,37066,37184,74274
394,36443,36138,72602
395,37097,37251,74370
396,40694,36477,77194
397,40100,37553,77677
398,38177,36096,74295
399,39372,44404,83799
400,38917,37239,76178
401,46300,37656,83983
402,40489,36349,76861
403,35998,36592,72615
404,34659,35764,70446
405,42845,36475,79347
406,36002,39991,76015
407,42648,36537,79212
408,34792,36213,71029
409,36314,35935,72274
410,35853,35864,71742
411,36376,35974,72375
412,36191,35598,71819
413,36868,36132,73021
414,36826,35419,72273
415,38033,35995,74054
416,40835,35736,76595
417,43430,36898,80353
418,38709,36609,75347
419,38326,36477,74827
420,38410,36208,74644
421,38677,36345,75043
422,38881,36627,75534
423,44100,36824,80949
424,43572,36132,79727
425,44718,36767,81510
426,45141,36242,81405
427,46219,37384,83626
428,45824,35961,81808
429,47336,37317,84676
430,46753,35883,82661
431,47732,37360,85118
432,52649,37186,89863
433,43445,36495,79966
434,42873,35992,78890
435,43479,36115,79616
436,43264,36263,79552
437,44276,36084,80385
438,45102,35597,80722
439,44733,36749,81507
440,44811,36261,81098
441,45739,35966,81733
442,45640,36784,82453
443,46110,36431,82570
444,45753,36542,82324
445,44137,36924,81089
446,46603,36571,83203
447,47177,36383,83589
448,54057,36253,90334
449,53881,36877,90783
450,48111,36837,84973
451,48056,36539,84620
452,48012,36381,84420
453,49129,37120,86278
454,54727,36700,91449
455,55997,37010,93029
456,55980,36633,92635
457,56379,37324,93727
458,56307,36082,92412
459,57778,37127,94928
460,56362,36245,92629
461,58169,37224,95414
462,57448,36830,94300
